Wall time,Step,Value
1743045578.3564458,2400,275.9166564941406
1743045578.8297434,2800,301.1428527832031
1743045580.9390817,4800,385.4166564941406
1743045582.0264266,6000,406.0666809082031
1743045582.387293,6400,407.265625
1743045583.487581,7600,414.47369384765625
1743045583.8552518,8000,412.4125061035156
1743045584.2254581,8400,411.6785583496094
1743045585.734731,10000,412.5199890136719
1743045594.9276526,14800,456.92999267578125
1743045597.7501311,16400,464.739990234375
1743045599.1453948,17200,468.510009765625
1743045600.5225375,18000,478.239990234375
1743045601.2129247,18400,481.79998779296875
1743045602.5986073,19200,487.42999267578125
1743045606.451716,21600,492.7099914550781
1743045607.039388,22000,492.0799865722656
1743045607.494647,22400,493.04998779296875
1743045607.8674736,22800,492.8900146484375
1743045608.2450264,23200,494.489990234375
1743045614.9946578,25600,490.6199951171875
1743045616.0381167,26400,488.8500061035156
1743045617.2164307,27200,491.760009765625
1743045617.7479281,27600,487.6400146484375
1743045619.3950324,28800,478.0799865722656
1743045619.9004073,29200,476.8399963378906
1743045620.3894792,29600,475.30999755859375
1743045620.897465,30000,474.3500061035156
1743045623.6787302,32000,470.6199951171875
1743045626.4167907,34000,471.4800109863281
1743045628.060898,35200,468.1600036621094
1743045628.8752446,35600,472.8900146484375
1743045641.186604,38000,470.30999755859375
1743045647.0995479,41200,470.32000732421875
1743045649.1031244,42400,466.6000061035156
1743045649.9856846,42800,466.6400146484375
1743045655.3253763,45600,463.94000244140625
1743045657.4846642,46800,464.92999267578125
1743045658.596312,47600,468.32000732421875
1743045667.9330893,50400,452.94000244140625
1743045668.7085178,50800,455.3699951171875
1743045670.8390143,52000,466.8699951171875
1743045671.5794566,52400,470.82000732421875
1743045676.1144254,55200,469.989990234375
1743045677.6566677,56000,470.8800048828125
1743045678.8610675,56800,471.8699951171875
1743045679.5270574,57200,473.3900146484375
1743045680.1512473,57600,477.45001220703125
1743045685.4529908,60400,488.75
1743045688.0006843,62400,482.0199890136719
1743045694.616523,63200,481.989990234375
1743045695.3707597,63600,476.5899963378906
